keys;en;fr
difficulty;Difficulty;Difficulté 
start;Play;Joué
exit;Exit;Quitté
languages;Languages;Langues
win;You win !;Vous avez gagné !
lose;You lose !;Vous avez perdu !
french;French;Français
english;English;Anglais
easy;Easy;Facile
firetip;Left click on a lane in order to fire from it.;Click gauche sur une ligne pour tiré sur la ligne
selecttip;Use 1 to 6 to select a color.;Utilise les touches de 1 à 6 pour choisir une couleur.
tuto0;we must defend ourselves from them using their own forces.;Nous devont nous défendre contre eux en utlisant leurs propres force.
tuto1;red beat green;Le rouge est plus fort que le vert.
tuto2;green beat blue;Le vert est plus fort que le bleu.
tuto3;blue beat red;Le bleu est plus fort que le rouge.
tuto4;If an Ork believe that red is faster than blue then it will be.;Si un Ork pense que le rouge est plus rapide que le bleu, alors le rouge ira plus vite.
tuto5;Be aware of merged color.;Attention au mélange des couleurs.
